id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2020
81,32,JAWA BARAT,3279,KOTA BANJAR,4,ORANG,2020
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,ORANG,2021
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,ORANG,2021
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2021
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2021
86,32,JAWA BARAT,3205,KABUPATEN GARUT,0,ORANG,2021
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2021
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2,ORANG,2021
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,14,ORANG,2021
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,36,ORANG,2021
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,ORANG,2021
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2021
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9,ORANG,2021
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2021
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,ORANG,2021
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,ORANG,2021
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,ORANG,2021
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2021
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2021
100,32,JAWA BARAT,3271,KOTA BOGOR,1,ORANG,2021
101,32,JAWA BARAT,3272,KOTA SUKABUMI,24,ORANG,2021
102,32,JAWA BARAT,3273,KOTA BANDUNG,16,ORANG,2021
103,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2021
104,32,JAWA BARAT,3275,KOTA BEKASI,6,ORANG,2021
105,32,JAWA BARAT,3276,KOTA DEPOK,28,ORANG,2021
106,32,JAWA BARAT,3277,KOTA CIMAHI,4,ORANG,2021
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2021
108,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2021
