id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,ORANG,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,9,ORANG,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,43,ORANG,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,5,ORANG,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20,ORANG,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3,ORANG,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1,ORANG,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,5,ORANG,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,ORANG,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,36,ORANG,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,3,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2,ORANG,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,ORANG,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,25,ORANG,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,31,ORANG,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,5,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,24,ORANG,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,3,ORANG,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,3,ORANG,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,3,ORANG,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,11,ORANG,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,6,ORANG,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,11,ORANG,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3,ORANG,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2,ORANG,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,3,ORANG,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7,ORANG,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1,ORANG,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,ORANG,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,3,ORANG,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,ORANG,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,19,ORANG,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,ORANG,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,ORANG,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,ORANG,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1,ORANG,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4,ORANG,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,18,ORANG,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,3,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,8,ORANG,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,7,ORANG,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,187,ORANG,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,43,ORANG,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,ORANG,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,12,ORANG,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,18,ORANG,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12,ORANG,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,3,ORANG,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,18,ORANG,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2,ORANG,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,ORANG,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,ORANG,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,ORANG,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5,ORANG,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,3,ORANG,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,ORANG,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3,ORANG,2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,1,ORANG,2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2021
