id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,rata_rata_lama_sekolah,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,6.9,TAHUN,2010
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5.82,TAHUN,2010
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.17,TAHUN,2010
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7.98,TAHUN,2010
5,32,JAWA BARAT,3205,KABUPATEN GARUT,6.68,TAHUN,2010
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6.59,TAHUN,2010
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,6.96,TAHUN,2010
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6.58,TAHUN,2010
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,5.92,TAHUN,2010
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.35,TAHUN,2010
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7.51,TAHUN,2010
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4.93,TAHUN,2010
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,5.84,TAHUN,2010
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.01,TAHUN,2010
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5.99,TAHUN,2010
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,7.51,TAHUN,2010
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.03,TAHUN,2010
18,32,JAWA BARAT,3271,KOTA BOGOR,9.25,TAHUN,2010
19,32,JAWA BARAT,3272,KOTA SUKABUMI,7.82,TAHUN,2010
20,32,JAWA BARAT,3273,KOTA BANDUNG,10.32,TAHUN,2010
21,32,JAWA BARAT,3274,KOTA CIREBON,9.09,TAHUN,2010
22,32,JAWA BARAT,3275,KOTA BEKASI,10.07,TAHUN,2010
23,32,JAWA BARAT,3276,KOTA DEPOK,10.06,TAHUN,2010
24,32,JAWA BARAT,3277,KOTA CIMAHI,10.33,TAHUN,2010
25,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8.23,TAHUN,2010
26,32,JAWA BARAT,3279,KOTA BANJAR,7.45,TAHUN,2010
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,6.92,TAHUN,2011
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6.07,TAHUN,2011
29,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.28,TAHUN,2011
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.14,TAHUN,2011
31,32,JAWA BARAT,3205,KABUPATEN GARUT,6.71,TAHUN,2011
32,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6.64,TAHUN,2011
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7.14,TAHUN,2011
34,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6.87,TAHUN,2011
35,32,JAWA BARAT,3209,KABUPATEN CIREBON,5.97,TAHUN,2011
36,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6.46,TAHUN,2011
37,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7.51,TAHUN,2011
38,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4.93,TAHUN,2011
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,6.01,TAHUN,2011
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.04,TAHUN,2011
41,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6.23,TAHUN,2011
42,32,JAWA BARAT,3216,KABUPATEN BEKASI,7.98,TAHUN,2011
43,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7.33,TAHUN,2011
44,32,JAWA BARAT,3271,KOTA BOGOR,9.43,TAHUN,2011
45,32,JAWA BARAT,3272,KOTA SUKABUMI,8.16,TAHUN,2011
46,32,JAWA BARAT,3273,KOTA BANDUNG,10.33,TAHUN,2011
47,32,JAWA BARAT,3274,KOTA CIREBON,9.31,TAHUN,2011
48,32,JAWA BARAT,3275,KOTA BEKASI,10.43,TAHUN,2011
49,32,JAWA BARAT,3276,KOTA DEPOK,10.22,TAHUN,2011
50,32,JAWA BARAT,3277,KOTA CIMAHI,10.38,TAHUN,2011
