id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
78,32,JAWA BARAT,3276,KOTA DEPOK,62919,ORANG,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,11464,ORANG,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,17646,ORANG,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,3327,ORANG,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,161066,ORANG,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,66589,ORANG,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,61103,ORANG,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,101933,ORANG,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,70805,ORANG,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,47361,ORANG,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,32270,ORANG,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,29182,ORANG,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,59208,ORANG,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,32536,ORANG,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,31115,ORANG,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,46669,ORANG,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,43087,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,25998,ORANG,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,63556,ORANG,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,101625,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,45897,ORANG,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10781,ORANG,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,30026,ORANG,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,8874,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,67713,ORANG,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,8621,ORANG,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,81106,ORANG,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,64984,ORANG,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,16586,ORANG,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,17915,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,4944,ORANG,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,164382,ORANG,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,67159,ORANG,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,61137,ORANG,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,64599,ORANG,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,107123,ORANG,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,47404,ORANG,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,32445,ORANG,2020
